"","zscore_1p","zscore_1q","zscore_2p","zscore_2q","zscore_3p","zscore_3q","zscore_4p","zscore_4q","zscore_5p","zscore_5q","zscore_6p","zscore_6q","zscore_7p","zscore_7q","zscore_8p","zscore_8q","zscore_9p","zscore_9q","zscore_10p","zscore_10q","zscore_11p","zscore_11q","zscore_12p","zscore_12q","zscore_13q","zscore_14q","zscore_15q","zscore_16p","zscore_16q","zscore_17p","zscore_17q","zscore_18p","zscore_18q","zscore_19p","zscore_19q","zscore_20p","zscore_20q","zscore_21q","zscore_22q"
"olink_CD83",-0.00716221562132528,0.0382844018819299,-0.0778082496074985,0.0904866235019903,-0.118783812616915,0.0695247935421444,0.10463607606598,0.103148215582058,0.196561417455718,-0.119566948290758,0.147774690799536,0.239762594224174,0.0965614918149257,0.0365434390658535,-0.0675282477956256,0.100613352719621,-0.0607388062427086,0.137219132130085,-0.0732060380969492,-0.127556462246085,-0.148507231312492,-0.153609787950209,-0.0412215845934984,0.0544201075584566,0.042995122642267,0.207109313504378,-0.0630689414743455,0.120713380112666,0.0338850940952801,0.134787436421027,0.106167338465933,0.124352317262303,0.153315734012933,0.0293993941066288,0.105161194074346,0.106346860637157,-0.00328456177935363,-0.0509103304781448,-0.0126806087868832
"olink_LAMP3",0.073936547782903,-0.065455958039233,0.0130526784351219,0.131439728601092,-0.026891597574971,0.00586654899990883,0.113726674198548,0.133065418086823,0.0592568081119285,-0.00944907847862224,0.0352381913132802,0.112935667296213,-0.0337278286656967,-0.0109613125392001,-0.0294919196595356,0.031730004010783,0.0203456621660343,0.0650536811255558,-0.0130651428069174,-0.0429588431769301,-0.034390825050922,-0.0908912214126426,-0.0575051123067848,-0.00863379410837003,0.0443384476646542,0.0516699925338757,-0.00782776568811598,0.0816029562276272,0.0283774545662278,0.0945543975207466,0.0431162907955762,-0.0265594839849811,0.012000652248624,0.0776688044224578,0.000937884548582016,0.147715823484724,-0.0507525585544862,0.0581582349308975,0.0644001535853423
"olink_NCR1",0.0472418408545883,-0.00363965508447219,-0.0175587550610447,0.0686110347419568,-0.0410962019542942,0.0203061398593176,0.122450297122571,0.13896409350581,0.0796021052372118,0.0164488958988029,0.0212801881865211,0.142433373572484,0.0131670002138594,-0.0507714563554831,-0.089896251023645,0.059910091948598,-0.12194944136581,0.0401415862775202,-0.0988096568000988,0.0032576241030788,-0.18242170477929,-0.113713233129657,-0.0461031389841607,0.0125310580095725,0.0741252700723722,0.0918077389897378,0.0943847642944873,0.196245500518826,0.144873991878689,0.148296500141519,0.0210196448159514,0.120177275872829,0.0506791614233351,-0.0797784465720111,0.00840059084999712,0.0645013161142501,-0.0367046787333721,0.00443527152880393,0.0953873814979048
"olink_KLRD1",0.0866093462821287,-0.0485221018613448,0.0214069188058983,0.0296442444029307,-0.00342956966101742,-0.0248690140833049,0.148709327003283,0.127876169156335,-0.00980609893800889,0.0231809088710415,-0.0729559844384727,0.0231477575458342,-0.0354179104087625,-0.0629287464021731,0.001477231319957,-0.0150189709036942,-0.0634305839148053,0.00991603797304874,-0.0842722195190207,0.00377971585207454,-0.0809422675022591,-0.110822705221823,-0.157558229871117,-0.0902142489588204,0.084139946551978,0.059888563504029,0.0636736919271839,0.147787904289288,0.133804775162128,0.13973187764042,-0.0680276898044125,0.0466760309053757,0.0437090463608697,-0.0104338318806076,0.00867617524195796,0.0603941030398712,-0.105694913423256,0.00922232201689267,0.0831042134416096
"olink_PD_L1",-0.082502470095267,0.0387475495546601,-0.0839829339626728,0.0397149291790072,-0.0848324593952083,0.0551284311199227,0.0237603395666012,0.043507535002513,0.14891315156195,-0.0841480010920175,0.110745276617828,0.157601861599264,0.110336678051984,0.0740614071199986,-0.052561217965641,0.0883455981855029,-0.0374179732283301,0.0715653134122292,-0.0410345470313171,-0.0913073757963132,-0.122212391433135,-0.0728082197997057,0.0145028695597358,0.038833103641607,-0.0103385699159398,0.140492700402579,-0.0872976435026029,0.0531303717241946,-0.0205630970379242,0.021062449767818,0.0759315677849215,0.0974838477928152,0.0726466704780526,0.0135032652957678,0.0879826692466213,0.00593496980042621,0.0110898728253331,-0.0485786510809202,-0.0782180279373245
"olink_PD_L2",0.0186865830807661,-0.00673452634856524,-0.0209128984149576,0.0301259376527933,-0.0410364391599635,0.074692239346381,0.0630486864867326,0.0647499698309004,0.0983533776707797,-0.0248096871727368,0.0389604273503194,0.110804687515051,0.0345950085279542,-0.0416673420133179,-0.0391586674186655,0.0599863827255565,-0.0550471509366352,0.0277937671516852,-0.0883063719618257,-0.0463654627129713,-0.080610195777315,-0.0758726247203612,-0.0451479059925712,0.0256871294264723,0.0718564666474539,0.127177828664327,0.0181960055243967,0.111791266781667,0.0681643117447088,0.100761542501109,0.0244484966358347,0.0715129968564223,0.0382071110889431,-0.0348913719028315,0.0427778848166841,0.028838766968341,-0.00230605643527976,-0.0353974662012618,0.0436144671104097
"olink_PDCD1",0.0497219201209644,-0.0118311840744995,-0.0535718457017017,0.0455506795948442,-0.0158458659283476,0.0086438528324217,0.110409531199671,0.100412519887462,0.0734193320221072,-0.026930688290063,0.0268425120740711,0.0999937794441703,-0.0205089725670898,-0.0296781870170179,-0.0228199288751119,0.0497404865100321,-0.0283565002215132,0.0531972709080726,-0.0666350023093476,-0.045294180522575,-0.100510449181621,-0.0777373688883037,-0.0575316094259314,-0.00489525906139963,0.0113280583803401,0.0919076879477442,0.0206669016844404,0.102328042402748,0.0490921049940922,0.0571016678730694,0.00989875446965783,0.086892046463784,0.0426741580104507,0.00109572244126801,0.0528889743272363,0.107912589273193,-0.0661307264490747,0.0206078182812581,0.0287300582874013
"olink_ICOSLG",-0.000728960729828755,-0.0774310072852781,-0.0218113762866187,0.0468637792979171,0.0718862336081082,-0.0696033455945286,0.0765808132616137,0.122807467407404,-0.0147474765812531,0.0398125299566501,-0.0187413596355299,0.0632881785668069,-0.0858719101894945,-0.0664674404143757,0.0191322323287449,-0.0348477378612334,-0.0837504612445535,0.0201279017296983,-0.0670116748900506,0.0505828658715051,-0.0201698934774338,-0.0901551019572519,-0.107814704474845,-0.0425808880718791,0.0281074480753075,0.0102910735929566,0.0675412220915494,0.0926249613579357,0.106751908671976,0.115301602780419,-0.0330000959919896,0.0232987987627632,0.0388552020030805,-0.0118729066125865,-0.0494622181555662,0.00942828682397496,-0.108882805153866,0.000598137179597658,0.0733641416006308
"olink_GZMA",0.0993452293652362,-0.100789389904201,-0.0802794178250934,0.0472015515318774,-0.0418494535417908,-0.0516893453097793,0.140349821709827,0.170322056182493,0.0144380946370222,0.0667953283311666,-0.0108206072127069,0.137361777863775,-0.0500504784794657,-0.00944449296552963,-0.058136059637364,-0.0370658866618161,-0.0090143921181303,0.0744668855551886,-0.000104217560840773,0.0011972686796199,-0.114241383956273,-0.0980453370776923,-0.0414247396757796,0.0493903097006427,0.103059375245081,0.051746568245594,0.0884198429269795,0.161837983640944,0.114051324106268,0.152682143093342,-0.00730046178235723,0.0462818193686057,0.00473427936377756,0.0583155601581556,0.011109368792481,0.151973802578188,-0.074888714655343,0.0987345385760393,0.121200075035094
"olink_GZMB",0.0323859006990032,-0.0895076417377358,-0.0858500227542902,0.0242489252435172,-0.133601659359276,0.0145325717345625,0.0598186794994918,0.0682277443265484,0.111572979760095,-0.0693763385083289,0.0970751474826804,0.177759205030839,0.0366261288608208,0.0760217281490958,-0.0461876363670345,0.0163941141638739,0.0558640003524125,0.210854553932737,0.0285975224685347,-0.119936831302371,-0.0213192125815234,-0.0629401180953961,-0.0315819561644733,0.0355601055729371,0.106722535265668,0.121666957119824,-0.0812523081105255,0.0727629883441984,-0.0156991373552306,0.0747909090639942,0.108015355009381,0.0225805864563133,0.0464142728976882,0.147702887894537,0.0709424353961357,0.0982670038085217,-0.00866874884840971,-0.0243363290930624,-0.0124070848255011
"olink_GZMH",0.0128268802408698,0.00409793410962666,-0.0595348495185132,0.0350955318968692,-0.138656587533669,0.0628643200153105,0.0451967714158287,0.0230345048162211,0.108224464465552,-0.0894686314478105,0.0881501573024157,0.15700594034363,0.0746226016079133,0.102544853785781,-0.0564838495160525,0.040684359977132,0.055162953570098,0.157340982029614,0.0695171410068118,-0.125143713395641,-0.031172855330376,-0.0522953639005537,-0.0248350055043479,0.0334587334747084,0.0656182099698755,0.105191534828272,-0.0751186586634897,0.0344767279681367,-0.0471676316545325,0.0606229283652853,0.0873114469344957,0.0213161207631432,0.0345599696213579,0.187277890817042,0.0772040081493341,0.102945719626376,0.015125241575036,0.000567412921765896,-0.0359466427984203
"olink_VEGFA",-0.0673321573642436,0.0606779282275259,-0.147963540632071,0.0432083875113452,-0.195253557520137,0.12340152900329,0.00980836485463689,0.0216580039342781,0.220643407239038,-0.137954412252976,0.178243143112922,0.237132318150723,0.166173996400384,0.129126594468027,-0.0918425398473159,0.0936899913691679,0.0210455383255204,0.149248385560105,-0.00229545994586562,-0.164954877110182,-0.144669245720606,-0.0581985751938799,0.050161203765652,0.118290656771141,0.0853742291595651,0.212443082529858,-0.0986613244754339,0.00400515832881926,-0.0672375527568419,0.0399491134985691,0.195210595129782,0.11295274122409,0.0583700139126405,0.0828252219673916,0.103678407395038,0.0559322387485688,0.071918361995386,-0.0996166158950514,-0.0778455133345735
"olink_VEGFC",0.141505139354246,-0.0883983977814604,-0.0207486352006627,0.0089488441772466,0.168249934930316,-0.0555900915621393,0.0949566627279694,0.108861973174873,-0.107928561322101,0.164810494101795,-0.0523637126822488,-0.0137406317264823,-0.248228950205561,-0.257482421568134,0.0517334348335998,-0.0212905159894651,-0.0407561925733181,-0.129121458681684,-0.165287117954548,0.167683249028243,0.00414997776568989,-0.0594310061118504,-0.112655495042582,-0.0454068230443974,-0.0554052197816194,-0.0827176811432315,0.179434161221315,0.151592706366326,0.125503968876636,0.0690278937794241,-0.0980855479870246,0.00153135206550922,-0.0441036844766229,-0.194594806502778,-0.0812550979054607,9.42468139315649e-05,-0.063781336004325,0.218227038945466,0.145730983348473
"olink_VEGFR_2",0.0665860354441145,-0.122622544795644,0.00765770213050572,0.0648142587568872,0.0307680402752639,-0.0448766991847311,0.0797526667493499,0.170544741459563,0.00341664003124978,0.0985592927899334,-0.00124833463339949,0.0851032080895063,-0.0578053406254677,-0.0840222902353475,-0.0588292867371967,0.00725658129530372,-0.0621357132394582,0.0265885271333388,-0.0924420748186723,0.0538289761629571,-0.0708483313115055,-0.10953805252505,-0.0291734938013583,-0.0084021545090075,0.100255664248118,0.0130821416529852,0.112861645891585,0.177837044403052,0.145324689680395,0.14621091364152,0.00552334976463572,-0.0165005618536754,0.000259733578327951,-0.0768701426884108,-0.0354808404917974,0.0216381524936558,-0.0652533298960698,0.0512750745823901,0.142548777953112
"olink_ANG_1",0.0703766125287732,-0.0307172632815995,-0.0215590284679982,-0.0327418130326033,0.0763477329515612,-0.00376007694431539,0.0175007298175316,0.0242053859118645,-0.0650866928870776,0.105434093498282,-0.0459844114790131,-0.00129075774601366,-0.132672151015043,-0.140722684836519,0.00291131469729511,0.0278330723674233,-0.0778071990978135,-0.100920401065029,-0.121590336393576,0.121206882239373,-0.0384844670231284,0.029326835529473,-0.0311383706187639,-0.0385830026429771,-0.0423203271301432,-0.104670453248609,0.149165378707644,0.122378864486594,0.062067920894821,-0.0100866731747528,-0.0385999297171739,0.0227933809909873,-0.0540163448623167,-0.133875490707072,-0.0757002090389726,-0.0468376598200394,-0.0258947263071535,0.123867547041326,0.0726906196052546
"olink_ANGPT2",-0.0711117476586182,0.114412868182557,-0.221884686839054,-0.010673130554365,-0.274922674326896,0.115376909065394,-0.0104829841770323,-0.0027789939066951,0.314371613472965,-0.182280273797156,0.255627871847075,0.266001535586625,0.2238437580161,0.237314401952195,-0.0696057427270081,0.0845894586393801,0.0867747714142793,0.221465163358764,0.0171474353750471,-0.253196083217681,-0.160243453598414,-0.0362889878520633,0.119898037690959,0.169196540785301,0.0586697064285658,0.2546756572715,-0.228486266058214,-0.0356239630104928,-0.13433435642894,-0.0309578022125017,0.240035687795468,0.137472527084572,0.119714001456079,0.165258128731434,0.231819675881478,0.0516427692985247,0.135119433812532,-0.141613588020498,-0.198382513212358
"olink_TIE2",-0.142637173260261,-0.04297846753525,-0.0770463449354852,0.134029854702413,-0.0446127534390093,-0.0409202905717209,0.068887324521766,0.138174563244538,0.108985759983395,-0.046727769362082,0.0628556332853643,0.187787607427888,0.132789099067844,0.0967101816619176,-0.0740657106394281,0.0032034365979315,-0.107138453485367,0.107750860905292,0.0285436823437636,-0.0216863251803536,-0.129608166428915,-0.0978432454703531,-0.050061103395558,0.00820893749067009,0.123553311374034,0.108468333160303,0.0281375803133114,0.0544557303535822,0.0750782574257717,0.161994405108218,0.103868889814277,0.0344100717366365,0.0194028662184085,0.0926983075680982,-0.039559998352732,0.0552119694030936,-0.0805569727736037,-0.139814054757359,0.0460933818991058
"olink_PGF",-0.0958893338676477,0.0986182927478692,-0.134582501302883,0.0299476701799481,-0.141484284188159,0.117167157286397,0.0216298741501019,0.0488588963725184,0.236862675832073,-0.141102916062519,0.186923397619203,0.251932197473025,0.147938291616275,0.0880820917937491,-0.0815485725695153,0.168193886050098,-0.0537422467902577,0.0868432690069436,-0.0870921870816092,-0.146340544248004,-0.201958609303128,-0.167836346344575,0.0213735840626772,0.142709770484915,-0.0212637026454129,0.236718416537678,-0.0815585044816613,0.0689680169182448,-0.0107833338651318,0.0621815659426817,0.128692984760879,0.183822703666009,0.145692662521128,0.0145500948582594,0.162770163829312,0.0144055752676388,0.0259775184672704,-0.0637940411103384,-0.07225713336402
"olink_NOS3",-0.109653290322688,0.17084305369752,-0.137467386988038,-0.0204586555139913,-0.176493315054461,0.0738660648731348,0.0236528791368787,-0.0695588036430797,0.173945220894788,-0.212234379304598,0.0981085140886285,0.132223537967123,0.231542177782419,0.172520704634966,0.00822265448780989,0.111356751040635,-0.00947928329784748,0.101919059667422,0.0697642404049893,-0.174610822741013,-0.141650083197516,-0.0186895780795846,-0.0166894219908692,0.061402498393569,-0.110476980187672,0.176773060418818,-0.181776319491143,-0.072301792116471,-0.151776512549606,-0.0962856762503749,0.0705211147646083,0.171374822004644,0.110043830913175,0.088397309335033,0.127642196344067,0.0817517463178526,-0.00165792424416952,-0.0707684806263272,-0.189727080787418
"olink_TRAIL",-0.00674002942811445,-0.17595437200595,-0.0488980331710483,0.0760201857557137,0.0461779577399637,-0.0688341820932673,0.0786702660274321,0.145467607800886,-0.0205745967125056,0.0605688931771001,-0.013647347970513,0.0929023011543271,-0.0944712876746079,-0.0881889977931317,0.0142150106005833,-0.0378551510266347,-0.0465440366957716,0.0278629604298194,-0.0606267131899475,0.0558969827641696,-0.00301632433443998,-0.101573557284609,-0.0507857636637666,-0.0390889908134259,0.106519996982348,0.0418460864439582,0.0810317818425839,0.110015032006043,0.120624251893245,0.155585125647696,0.000327913359795257,-0.0117599541402251,-0.00385177909546307,-0.00996085904439503,-0.0609037867946431,0.0106800681699552,-0.0888359173399569,-0.0190148641484749,0.0924603882152065
"olink_FASLG",0.202196505878455,-0.178733229007108,0.0833498515987075,0.112052402431938,0.0615925694296283,-0.0863240454841159,0.226591112847355,0.248952451859421,-0.0815436979651716,0.15973598978,-0.102752646073739,0.0472872421145689,-0.173767814107172,-0.178654164608138,-0.0541246792760395,-0.0814496052354036,-0.0948789525295849,0.0503541884574416,-0.0961242762277172,0.105367408414349,-0.0606232377727764,-0.118265933963165,-0.128535535219889,-0.120259177061988,0.174595792417494,-0.0145635317052445,0.190957384631186,0.289985481083509,0.275933859081784,0.257844027862362,-0.0730889035349341,-0.00518068829080519,-0.0279190315290994,-0.0454604880882342,-0.0673783065394516,0.116263993787161,-0.107047894863641,0.0889630730438818,0.235602260423616
"olink_TWEAK",0.0327417429942331,-0.164174207818038,0.0539004196565719,0.083780065653861,0.0678106557766392,-0.063261889162986,0.0857762459367102,0.146398751377932,-0.0686411280334266,0.0759751692095223,-0.0636042008751427,0.0452734138321033,-0.103367971008515,-0.0981199496572457,-0.0392894921882869,-0.0229198312909849,-0.0791707987070853,0.0111690403214645,-0.0498941981639519,0.0776539229199974,0.0160766818624182,-0.0792417234441603,-0.120756105784933,-0.0654499031852969,0.120978648206628,-0.0335075757248728,0.133652526856772,0.130324951757279,0.135952144434545,0.181322904189808,-0.0388418250834173,-0.0736320357400681,-0.0296537041997835,-0.0162202293626578,-0.130989112657368,-0.00300457621723154,-0.12682989405743,0.0197136108090863,0.174983500718052
"olink_CASP_8",-0.0818169679351997,-0.0480022296024039,-0.124423536911289,-0.0662333144148133,-0.0361916229779251,-0.0842398425545721,0.0437224238853842,0.0280593770338414,0.0247381327022691,-0.0162758518709502,0.0398100471617816,0.0427456511071153,0.103469004401417,0.0307026579699182,0.125003334489581,0.0497506107522033,0.0551421756136551,-0.00950376937920495,0.082247552644484,0.00123482945853711,-0.0825011096100883,-0.0248861692523306,0.110156756241965,0.0688829858938319,-0.034190106633314,0.0853993362263327,-0.00131969743096286,-0.0536119288022797,-0.0081443852499587,0.0189757751895274,0.0345588117084039,0.068462209502137,0.0392372072827497,-0.0228033608203582,0.0211752441687014,-0.0157343602551492,-0.0859306340832223,-0.0304587625476462,-0.0636743422676865
"olink_IL2",0.0177980759124104,-0.0115777014863806,0.0312894970425318,0.0538097492919499,-0.10780944281706,0.103517597722717,-0.0177078380962307,-0.0198588573225046,0.111627397744541,-0.0563333545178677,0.104442920733979,0.0997756399635869,0.0286139120338019,-0.0140529557815188,-0.0100774570263525,0.0643457491566508,0.0769574424115981,0.0622196022522456,-0.0674314798001625,-0.0868457164152812,0.00839175890938585,-0.0317613771720645,0.0725800124352208,0.0908145706771219,0.0416302914371657,0.0692125033913646,-0.0799418463120325,0.0273101343450497,-0.027753231401711,0.039135228207684,0.0844315477472623,0.0366899639325857,0.0774007434704192,0.0660148010432355,0.124107804578435,0.0609530854984977,0.115747290961632,-0.0157146663700348,-0.0867933049828535
"olink_IL4",-0.0313682991664659,0.0115482857108213,0.0158931796421574,-0.0343859366417505,-0.0629057490853344,0.0892218202632484,-0.0284055855422273,-0.0431448544905654,0.0403353161521838,-0.0852428272609757,-0.00544538100342783,0.0415130002817722,0.0422916547215733,-0.0073745307511747,-0.0137064046290267,0.0646538400573053,-0.0431776612933285,-0.011507467476747,-0.0254394589092566,-0.0713203852876013,-0.0195508749496067,-0.095368553792587,-0.0338552253637624,0.0843401371535222,0.0360013473379516,0.0783481732548589,-0.0119409045706568,0.00501236504947953,0.0214415033247202,0.0690169005221633,-0.0563075678605323,0.0995063808690128,0.1363611578089,0.00649073344832743,0.0444715189419253,0.00599214777065548,-0.0171650953168589,-0.0500710840226685,-0.0217627200963869
"olink_IL5",0.0383335159519674,-0.0432688062018736,-0.018521893668513,0.0838990058043626,0.0109358503297529,0.0292265247040656,0.0208015916353626,0.0586143034216224,-0.0113621646963265,0.0496334583632025,-0.00233713335716144,0.0355057147337752,-0.0521059562800688,-0.0587041149298053,-0.0314227305455688,-0.0814548330444549,-0.0214004482344312,0.00771296518648166,-0.0368330909222395,0.0484415993767226,0.0244524706399026,-0.0391234128746873,-0.0531253391696662,-0.0427769266579023,0.1093044476763,-0.00809471906370634,0.0496844374285861,0.0145481006800663,0.0607436720313344,0.0684816155790401,0.0221802648131875,0.0246780911035552,-0.0152578816429052,-0.00552672776071001,-0.0704150791354583,0.0290276752549703,0.016626929378224,-0.0220902681505287,0.064490311344555
