Tier1,Cohort,Group,Feature,PC,N,Cohens_d,P_value,Direction
Non-cancer conditions,MICA Morbidity Cohort,Cardiovascular disease,ratio_pc_07,PC7,32,-0.10045855316969375,0.5268757758244837,ns
Non-cancer conditions,MICA Morbidity Cohort,Cardiovascular disease,ratio_pc_08,PC8,32,-0.3471537259367808,0.057336147169124364,ns
Non-cancer conditions,MICA Morbidity Cohort,Cardiovascular disease,ratio_pc_09,PC9,32,-0.003741887147761834,0.9780511482062033,ns
Non-cancer conditions,MICA Morbidity Cohort,Cardiovascular disease,ratio_pc_10,PC10,32,0.17847118882097754,0.4546916824052039,ns
Non-cancer conditions,MICA Morbidity Cohort,Cardiovascular disease,ratio_pc_11,PC11,32,0.45214743403486485,0.013780034042981268,higher
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_01,PC1†,6,-0.10223894243164462,0.8730917098550237,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_02,PC2†,6,-0.3978237200279001,0.21279583179206102,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_03,PC3,6,0.028769958466406304,0.877669539204416,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_04,PC4,6,-1.34663214032947,0.004385013233307666,lower
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_05,PC5,6,-0.5105467247797727,0.17501165822265966,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_06,PC6,6,-1.1184232724020666,0.002452744052438922,lower
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_07,PC7,6,0.6015473399050528,0.1440628294764193,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_08,PC8,6,-0.10195047522022976,0.778165699341624,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_09,PC9,6,-0.3542225845261291,0.25371926109011306,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_10,PC10,6,-0.2927188276144499,0.3220068885178593,ns
Non-cancer conditions,MICA Morbidity Cohort,Cerebral vascular disease,ratio_pc_11,PC11,6,0.27323703859286896,0.3572380495413592,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_01,PC1†,18,-0.3978850552833659,0.12335491002181764,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_02,PC2†,18,0.530068798435971,0.05686357981223101,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_03,PC3,18,-0.6063896100385608,0.020863456324592262,lower
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_04,PC4,18,0.48824725228535926,0.03536734892383403,higher
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_05,PC5,18,0.4642746084312029,0.030035237983618134,higher
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_06,PC6,18,0.36295738265210076,0.0840755672856212,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_07,PC7,18,0.07632893943872948,0.8148640319590985,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_08,PC8,18,-0.27597595263309077,0.1482133607380433,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_09,PC9,18,0.24848537321278943,0.23646112361318677,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_10,PC10,18,-0.12627064823114675,0.7003845022240612,ns
Non-cancer conditions,MICA Morbidity Cohort,Connective tissue disease,ratio_pc_11,PC11,18,0.061769204813505084,0.6691060232460021,ns
