"","ratio_pc_01","ratio_pc_02","ratio_pc_03","ratio_pc_04","ratio_pc_05","ratio_pc_06","ratio_pc_07","ratio_pc_08","ratio_pc_09","ratio_pc_10","ratio_pc_11"
"olink_IL2",0.128213483499445,0.0995981317104433,0.0269338804542378,0.113012351879273,0.0534239022263294,0.015173616305648,0.0848489943929818,0.0486856720602187,0.0265909257543197,0.0372251685713702,0.0456543649109665
"olink_IL4",0.0358116648467286,0.034090953799417,0.00497949595740309,0.0490576894507481,7.41465373527444e-05,0.0869130106869931,0.0279130284661697,0.0621012982814461,0.0593691543743332,0.0348592431485577,0.0243192443805655
"olink_IL5",0.032738754668566,0.00709476175153503,0.0166180321044324,0.0206730386907541,0.0983240063590584,0.0638273481580681,0.035355023087005,0.0206483763378142,0.0132300174989584,0.0928967012581026,0.0175859966629415
"olink_IL6",0.192810456275626,0.266983495529136,0.106777152206367,0.110273646385808,0.0302647509085931,0.122927218867922,0.101162691617931,0.112283067737523,0.0484165171219078,0.00717324603244097,0.0658300147197326
"olink_IL7",0.0078477945944678,0.0201305766129197,0.0325845604652922,0.0924565914048823,0.039132976187851,0.141554463052214,0.0653522745218469,0.0446076977884154,0.0609686200492159,0.00704617652395728,0.0461275183134343
"olink_IL8",0.120779040933821,0.099742114425774,0.0521157517167182,0.0288464142295241,0.147574679793082,0.100073165409644,0.102067035840545,0.0808913095380848,0.0601199527932899,0.100120749975226,0.0392659888917468
"olink_IL10",0.0820607778392876,0.117390524618743,0.100127622169324,0.0812673997179655,0.00676341912101838,0.0992292649075971,0.0530819719224087,0.133519816343132,0.0841607419189498,0.0392253206443453,0.0114984706668263
"olink_IL12",0.00330785489289615,0.0314714339644758,0.0197491209920954,0.0978370049335786,0.0978537316715605,0.222516304083674,0.0964674912779782,0.156577753160407,0.0640174321940878,0.122832126748553,0.0875034618493878
"olink_IL13",0.0984776343518583,0.0799047125157115,0.0398210429868969,0.0140726194033032,0.179775805869311,0.0124809109303826,0.0494142964918399,0.0255860614578989,0.157634508246144,0.00297910036222307,0.0403382643302726
"olink_IL18",0.0321892993154379,0.00608577552198203,0.101800850893434,0.0237693165671609,0.0215559893451179,0.0453960319259039,0.032892057580781,0.139733967877563,0.0113943850734646,0.0350844996686942,0.0100167065704476
"olink_IL33",0.0197938025372464,0.0374457293629701,0.0150154231419747,0.0443312776673487,0.0562616734932384,0.103945393170682,0.0142612471731048,0.0724185472332296,0.0366173557873895,0.0262838346507776,0.100435974219454
"olink_IL_1_alpha",0.0373298967098792,7.03406719358736e-05,0.1084968956565,0.107169476219116,0.0331558284691483,0.113319877101977,0.0669732717984549,0.0542464363441878,0.101086727495569,0.0376100851239621,0.0838026382790064
"olink_IL_21",0.140548174881968,0.141412348321357,0.023435054578886,0.0414207571361182,0.0946369525655009,0.00983414025249386,0.150876720873527,0.0797895622717069,0.0322172035644652,0.0630616543764277,0.0116915576838257
"olink_IL_35",0.0421718507702326,0.013156621813964,0.0643829314088638,0.0542111422143954,0.061481198694226,0.0147516934044256,0.0840855292489246,0.0558329642452686,0.045840705036746,0.0192131098387886,0.163259405845419
"olink_IL12RB1",0.0107175854826462,0.00876622735085286,0.0849025830231864,0.0216982505387774,0.047735175736988,0.00522210990510911,0.077348137540027,0.125898201953128,0.025465588417005,0.0180698680723141,0.0101049287682643
"ichor",0.747286259317113,0.700894231480829,0.0299434103828861,0.210312674916629,0.133059327874342,0.0806719216113252,0.0866868201994737,0.0608140319953774,0.0269717630572577,0.000823192003704388,0.00947636555579562
