length	ct_index	w_count	hard0	hard30	hard50	all_count
76	4	7.4063	1	1	1	391
76	5	20.7123	2	2	2	391
76	6	37.6998	3	2	2	391
76	7	94.7753	176	121	16	391
76	8	10.9662	0	0	0	391
76	9	16.2589	1	0	0	391
76	10	10.4372	0	0	0	391
77	1	37.6934	4	3	2	401
77	2	19.0811	4	3	2	401
77	3	148.9652	215	173	109	401
77	4	6.7978	0	0	0	401
77	5	20.2718	1	1	1	401
77	6	37.9471	2	2	1	401
77	7	92.5631	174	104	11	401
77	8	11.5663	0	0	0	401
77	9	16.7222	1	0	0	401
77	10	9.3922	0	0	0	401
78	1	42.2322	2	2	2	434
78	2	19.3476	1	1	1	434
78	3	154.5030	235	180	100	434
78	4	7.2986	0	0	0	434
78	5	21.9279	2	2	0	434
78	6	41.0334	2	2	1	434
78	7	104.9149	188	125	18	434
78	8	12.2460	0	0	0	434
78	9	18.9497	3	3	1	434
78	10	11.5468	1	1	1	434
79	1	51.5460	3	2	2	552
79	2	28.3894	5	5	4	552
79	3	193.1096	296	238	130	552
79	4	9.7409	1	1	0	552
79	5	28.8953	1	1	1	552
79	6	52.1300	3	3	3	552
79	7	132.6615	240	164	22	552
79	8	15.4549	1	1	0	552
79	9	24.8674	1	1	1	552
79	10	15.2053	1	1	0	552
80	1	68.7733	3	3	3	746
80	2	36.4640	5	4	4	746
80	3	270.3931	419	329	177	746
80	4	12.8325	0	0	0	746
80	5	38.0562	1	1	1	746
80	6	73.3544	3	3	2	746
80	7	172.0018	308	182	32	746
80	8	21.2168	1	1	1	746
80	9	32.3693	2	1	1	746
80	10	20.5390	4	4	3	746
81	1	94.1393	4	4	2	1005
81	2	51.4226	12	8	7	1005
81	3	346.0210	513	402	211	1005
81	4	18.6347	1	1	1	1005
81	5	52.3632	4	4	3	1005
81	6	96.3106	3	2	1	1005
81	7	245.6445	461	289	47	1005
81	8	30.0496	3	3	2	1005
81	9	44.3147	3	3	3	1005
81	10	26.0998	1	1	1	1005
82	1	88.6650	5	2	1	919
82	2	45.0031	8	6	4	919
82	3	319.6621	484	371	202	919
82	4	16.0349	0	0	0	919
82	5	49.3578	5	5	4	919
82	6	89.0275	2	2	1	919
82	7	220.8009	412	257	29	919
82	8	28.2403	2	2	2	919
82	9	39.1535	1	1	1	919
82	10	23.0550	0	0	0	919
83	1	66.5515	2	2	0	720
83	2	37.0466	6	4	4	720
83	3	251.9845	369	290	163	720
83	4	14.3983	2	2	2	720
83	5	36.7367	2	2	2	720
83	6	70.7084	7	4	2	720
83	7	174.2666	332	210	26	720
83	8	20.2262	0	0	0	720
83	9	30.2296	0	0	0	720
83	10	17.8517	0	0	0	720
84	1	56.8378	3	3	3	584
84	2	27.5705	5	3	2	584
84	3	197.2045	298	226	124	584
84	4	10.4768	0	0	0	584
84	5	29.4986	1	1	1	584
84	6	61.9613	6	6	6	584
84	7	144.2142	269	188	23	584
84	8	17.2447	1	1	1	584
84	9	24.7286	1	1	0	584
84	10	14.2628	0	0	0	584
85	1	47.3547	3	2	1	517
85	2	22.7922	4	4	4	517
85	3	194.5674	286	239	136	517
85	4	8.8493	1	1	1	517
85	5	25.8228	1	1	1	517
85	6	47.4887	2	2	2	517
85	7	120.3671	214	155	17	517
85	8	14.6542	2	2	1	517
85	9	21.4037	3	2	1	517
85	10	13.6995	1	1	1	517
86	1	50.2711	5	2	0	521
86	2	22.8832	1	0	0	521
86	3	179.5332	263	205	117	521
86	4	10.0398	1	1	1	521
86	5	27.0875	2	2	2	521
86	6	52.1544	4	4	2	521
86	7	128.0903	243	154	18	521
86	8	15.0291	1	1	1	521
86	9	22.7628	0	0	0	521
86	10	13.1487	1	1	1	521
87	1	59.7202	9	5	3	608
87	2	27.2720	2	1	1	608
87	3	211.5652	308	240	139	608
87	4	10.9988	1	1	1	608
87	5	29.8127	0	0	0	608
87	6	57.9927	3	2	2	608
87	7	150.7208	284	196	25	608
87	8	17.5070	0	0	0	608
87	9	26.3439	0	0	0	608
87	10	16.0666	1	1	0	608
88	1	63.4821	3	3	3	674
88	2	31.4087	8	5	2	674
88	3	243.5838	351	282	163	674
88	4	12.0079	0	0	0	674
