length	ct_index	w_count	hard0	hard30	hard50	all_count
73	6	63.7861	1	1	0	781
73	7	148.6373	263	178	12	781
73	8	23.4837	0	0	0	781
73	9	50.0945	13	6	5	781
73	10	32.8095	2	2	2	781
74	1	73.9574	10	6	5	736
74	2	25.1189	1	1	1	736
74	3	292.9791	479	407	218	736
74	4	14.7043	0	0	0	736
74	5	32.7340	2	1	1	736
74	6	59.2979	2	2	1	736
74	7	139.5314	230	163	14	736
74	8	23.5190	1	1	1	736
74	9	44.8621	9	3	0	736
74	10	29.2961	2	2	2	736
75	1	74.3716	13	4	3	765
75	2	26.6529	1	0	0	765
75	3	310.9924	488	418	258	765
75	4	16.3761	1	1	1	765
75	5	33.2027	1	1	1	765
75	6	60.7995	4	3	2	765
75	7	141.7716	249	165	18	765
75	8	24.3607	1	1	1	765
75	9	46.1991	6	2	2	765
75	10	30.2732	1	1	1	765
76	1	81.6974	6	4	2	858
76	2	27.0699	0	0	0	858
76	3	346.3909	563	454	249	858
76	4	16.5516	0	0	0	858
76	5	38.7772	4	4	2	858
76	6	74.2927	8	8	5	858
76	7	166.8079	268	195	21	858
76	8	25.8151	0	0	0	858
76	9	45.8296	4	1	0	858
76	10	34.7675	5	4	3	858
77	1	80.0273	5	4	2	807
77	2	28.3303	1	1	1	807
77	3	308.5635	500	394	213	807
77	4	16.3777	1	1	1	807
77	5	35.0933	2	2	1	807
77	6	70.4663	8	6	3	807
77	7	160.2666	279	195	18	807
77	8	28.3145	3	3	3	807
77	9	46.2362	5	2	2	807
77	10	33.3241	3	3	3	807
78	1	84.0116	1	1	1	883
78	2	30.3580	3	3	2	883
78	3	361.0443	567	487	278	883
78	4	18.2880	0	0	0	883
78	5	39.3567	3	3	1	883
78	6	70.9275	4	3	2	883
78	7	166.6369	290	192	20	883
78	8	27.6451	2	2	2	883
78	9	51.8066	12	6	2	883
78	10	32.9253	1	1	1	883
79	1	111.9876	10	4	2	1143
79	2	42.0237	4	3	3	1143
79	3	448.3518	737	598	323	1143
79	4	22.4885	0	0	0	1143
79	5	48.8742	2	2	1	1143
79	6	96.8392	4	4	2	1143
79	7	222.6382	374	268	20	1143
79	8	36.4855	0	0	0	1143
79	9	68.6733	10	5	2	1143
79	10	44.6383	2	2	2	1143
80	1	147.8846	17	6	4	1486
80	2	54.9189	3	3	3	1486
80	3	591.2737	968	814	437	1486
80	4	31.7989	1	1	1	1486
80	5	66.1466	3	3	2	1486
80	6	120.3756	7	6	4	1486
80	7	275.1497	464	320	21	1486
80	8	47.7455	1	1	1	1486
80	9	89.5922	15	9	0	1486
80	10	61.1144	7	4	3	1486
81	1	176.4718	13	7	2	1821
81	2	69.2908	10	10	9	1821
81	3	714.8577	1157	958	507	1821
81	4	38.1212	2	2	1	1821
81	5	81.0146	3	3	2	1821
81	6	154.4888	11	10	7	1821
81	7	353.6755	607	437	36	1821
81	8	56.9204	1	1	1	1821
81	9	108.3437	14	6	4	1821
81	10	67.8158	3	1	1	1821
82	1	184.5397	22	8	5	1825
82	2	69.9011	7	6	5	1825
82	3	691.2348	1122	909	500	1825
82	4	38.9974	1	1	1	1825
82	5	83.4315	4	4	3	1825
82	6	154.3038	6	4	1	1825
